Primary Date,trans ID,from team,to team
20010103,63283,COL,NYA
20010108,63284,TBA,KCA
20010108,63284,TBA,OAK
20010108,63284,OAK,TBA
20010108,63284,KCA,OAK
20010108,63284,KCA,OAK
20010108,63284,OAK,KCA
20010108,63284,OAK,KCA
20010111,63285,NYN,CLE
20010111,63285,CLE,NYN
20010114,63286,TOR,CHA
20010114,63286,TOR,CHA
20010114,63286,CHA,TOR
20010114,63286,CHA,TOR
20010114,63286,CHA,TOR
20010114,63286,CHA,TOR
20010118,63287,NYN,BOS
20010118,63287,BOS,NYN
20010224,63288,LAN,MIL
20010224,63288,MIL,LAN
20010317,63289,LAN,CHA
20010317,63289,LAN,CHA
20010317,63289,CHA,LAN
20010317,63289,CHA,LAN
20010317,63289,CHA,LAN
20010319,63261,BOS,CHA
20010320,63290,TOR,CHA
20010320,63290,CHA,TOR
20010321,63291,CIN,NYA
20010321,63291,CIN,NYA
20010321,63291,NYA,CIN
20010324,63292,SDN,NYA
20010324,63292,NYA,SDN
20010325,63293,ANA,CHN
20010325,63293,CHN,ANA
20010325,63293,ANA,CHN
20010326,63294,COL,NYN
20010326,63294,NYN,COL
20010328,63295,ANA,NYA
20010328,63295,NYA,ANA
20010328,63296,OAK,CHN
20010328,63296,CHN,OAK
20010328,63297,MIN,ARI
20010328,63297,ARI,MIN
20010328,63298,MIA,SDN
20010328,63298,MIA,SDN
20010328,63298,SDN,MIA
20010328,63298,SDN,MIA
20010328,63298,SDN,MIA
20010330,63248,MIA,BOS
20010330,63299,NYA,COL
20010330,63300,CHN,MIA
20010330,63300,MIA,CHN
20010330,63301,KCA,NYN
20010330,63301,NYN,KCA
20010331,63302,MIL,PHI
20010404,63303,MIL,COL
20010404,63303,MIL,COL
20010404,63303,MIL,COL
20010404,63303,COL,MIL
20010404,63303,COL,MIL
20010404,63303,COL,MIL
20010420,63299,COL,NYA
20010423,63304,COL,ARI
20010423,63304,ARI,COL
20010508,63305,TEX,WAS
20010508,63305,WAS,TEX
20010519,63306,CLE,NYN
20010521,63306,NYN,CLE
20010601,63078,PIT,LAN
20010601,63288,MIL,LAN
20010602,63307,COL,CLE
20010602,63307,COL,CLE
20010602,63307,CLE,COL
20010605,63308,PHI,KCA
20010605,63308,KCA,PHI
20010612,63309,TEX,BOS
20010612,63309,BOS,TEX
20010613,63310,PIT,NYA
20010613,63310,NYA,PIT
20010615,63311,TEX,CIN
20010615,63311,TEX,CIN
20010615,63311,CIN,TEX
20010619,63312,OAK,ARI
20010619,63312,ARI,OAK
20010620,63313,KCA,CIN
20010620,63313,CIN,KCA
20010622,63314,CLE,ATL
20010622,63314,CLE,ATL
20010622,63314,ATL,CLE
20010622,63314,ATL,CLE
20010623,63315,DET,HOU
20010623,63315,HOU,DET
20010623,63316,NYA,SDN
20010623,63316,SDN,NYA
20010624,63317,KCA,COL
20010624,63317,KCA,COL
20010624,63317,COL,KCA
20010627,63318,COL,HOU
20010627,63318,HOU,COL
20010629,63319,SFN,CHA
20010629,63319,CHA,SFN
20010629,63319,SFN,CHA
20010701,63320,NYA,CIN
20010701,63320,CIN,NYA
20010703,63321,OAK,COL
20010703,63321,COL,OAK
20010703,63322,MIN,SLN
20010703,63322,SLN,MIN
20010704,63323,NYA,SFN
20010704,63323,SFN,NYA
20010704,63323,SFN,NYA
20010710,63324,PIT,SDN
20010710,63324,SDN,PIT
20010710,63324,SDN,PIT
20010711,63325,ARI,PIT
20010711,63325,PIT,ARI
20010713,63326,CHA,LAN
20010713,63326,LAN,CHA
20010713,63327,ANA,COL
20010713,63327,COL,ANA
20010719,63328,COL,CIN
20010719,63328,COL,CIN
20010719,63328,CIN,COL
20010720,63329,CIN,CHN
20010720,63329,CHN,CIN
20010720,63329,CHN,CIN
20010723,63330,NYN,PHI
20010723,63330,PHI,NYN
20010724,63331,TEX,SFN
20010724,63331,SFN,TEX
20010724,63331,SFN,TEX
20010724,63331,SFN,TEX
20010725,63332,KCA,COL
20010725,63332,COL,KCA
20010725,63333,OAK,COL
20010725,63333,OAK,COL
20010725,63333,OAK,COL
20010725,63333,COL,OAK
20010725,63334,TBA,ARI
20010725,63334,TBA,ARI
20010725,63334,ARI,TBA
20010725,63334,ARI,TBA
20010726,63335,CHA,LAN
20010726,63335,CHA,LAN
20010726,63335,LAN,CHA
20010726,63335,LAN,CHA
20010726,63335,LAN,CHA
20010727,63336,TBA,CHN
20010727,63336,CHN,TBA
20010727,63337,PHI,NYN
20010727,63337,PHI,NYN
20010727,63337,NYN,PHI
20010727,63337,NYN,PHI
20010727,63338,PHI,SFN
20010727,63338,SFN,PHI
20010728,63339,MIN,DET
20010728,63339,DET,MIN
20010730,63340,CHN,MIL
20010730,63340,CHN,MIL
20010730,63340,MIL,CHN
20010730,63340,MIL,CHN
20010730,63341,MIN,NYN
20010730,63341,NYN,MIN
20010730,63342,PIT,SFN
20010730,63342,PIT,SFN
20010730,63342,SFN,PIT
20010730,63342,SFN,PIT
20010730,63343,NYA,SDN
20010730,63343,NYA,SDN
20010730,63343,SDN,NYA
20010731,63344,BAL,LAN
20010731,63344,LAN,BAL
20010731,63344,LAN,BAL
20010731,63345,BOS,WAS
20010731,63345,BOS,WAS
20010731,63345,WAS,BOS
20010731,63346,KCA,ATL
20010731,63346,ATL,KCA
20010731,63346,ATL,KCA
20010731,63347,COL,HOU
20010731,63347,HOU,COL
20010731,63347,COL,HOU
20010731,63348,PIT,LAN
20010731,63348,LAN,PIT
20010731,63348,LAN,PIT
20010731,63349,CLE,WAS
20010731,63349,WAS,CLE
20010731,63350,HOU,PIT
20010731,63350,PIT,HOU
20010731,63351,SFN,SLN
20010731,63351,SFN,SLN
20010731,63351,SLN,SFN
20010802,63302,PHI,MIL
20010802,63352,SLN,SDN
20010802,63352,SDN,SLN
20010802,63352,SLN,SDN
20010806,63336,CHN,TBA
20010806,63353,MIA,COL
20010806,63353,COL,MIA
20010823,63354,NYN,COL
20010831,63355,TEX,NYA
20010831,63356,SDN,ATL
20010902,63357,DET,NYN
20010902,63357,DET,NYN
20010904,63358,OAK,CHN
20010904,63358,CHN,OAK
20010906,63356,ATL,SDN
20011011,63355,NYA,TEX
20011012,63355,NYA,TEX
20011102,63359,OAK,CHN
20011102,63359,CHN,OAK
20011109,63360,LAN,PHI
20011109,63360,LAN,PHI
20011109,63360,PHI,LAN
20011127,63361,CHA,TEX
20011207,63362,NYA,NYN
20011207,63362,NYN,NYA
20011207,63363,OAK,TOR
20011207,63363,OAK,TOR
20011207,63363,TOR,OAK
20011210,63364,TOR,CHN
20011210,63364,CHN,TOR
20011211,63365,CLE,NYN
20011211,63365,CLE,NYN
20011211,63365,CLE,NYN
20011211,63365,NYN,CLE
